words,occurrences,frequency
partager,1768,0.023553407150883686
the,1767,0.023540085088015538
tuer,1761,0.023460152710806658
voire,1754,0.02336689827072963
occasion,1752,0.023340254144993335
toutefois,1752,0.023340254144993335
gestion,1751,0.02332693208212519
entrer,1750,0.023313610019257042
confier,1745,0.023246999704916307
souvenir,1741,0.02319371145344372
arrêter,1738,0.02315374526483928
création,1737,0.02314042320197113
intégrer,1735,0.02311377907623484
nuit,1735,0.02311377907623484
présidentielle,1729,0.02303384669902596
cependant,1725,0.02298055844755337
construire,1724,0.022967236384685223
compter,1722,0.022940592258948928
assemblée,1722,0.022940592258948928
samedi,1722,0.022940592258948928
certain,1721,0.022927270196080783
connaissance,1720,0.022913948133212635
titre,1719,0.022900626070344487
matin,1717,0.022873981944608195
imposer,1715,0.0228473378188719
conseiller,1714,0.022834015756003755
quartier,1711,0.022794049567399312
poste,1710,0.022780727504531167
donne,1706,0.02272743925305858
jeu,1705,0.022714117190190432
luimême,1705,0.022714117190190432
installer,1700,0.022647506875849696
administration,1696,0.022594218624377112
existe,1696,0.022594218624377112
espérer,1695,0.022580896561508964
sud,1692,0.022540930372904524
évoquer,1690,0.02251428624716823
évolution,1690,0.02251428624716823
art,1684,0.022434353869959348
élevé,1682,0.022407709744223053
candidature,1680,0.02238106561848676
naître,1676,0.022327777367014173
afrique,1671,0.022261167052673437
mètre,1668,0.022221200864068997
civil,1667,0.02220787880120085
fond,1667,0.02220787880120085
blanc,1666,0.022194556738332705
voter,1663,0.022154590549728265
rue,1662,0.022141268486860117
mode,1662,0.022141268486860117
logement,1659,0.022101302298255677
moyenne,1656,0.022061336109651233
parcours,1653,0.022021369921046793
ajoute,1652,0.02200804785817865
financement,1651,0.0219947257953105
religion,1650,0.021981403732442353
position,1650,0.021981403732442353
médecine,1646,0.021928115480969766
marche,1645,0.021914793418101618
manque,1645,0.021914793418101618
orientation,1636,0.021794894852288298
chance,1635,0.02178157278942015
sûr,1632,0.02174160660081571
renforcer,1630,0.021714962475079418
représenter,1629,0.02170164041221127
issu,1627,0.021674996286474974
arme,1627,0.021674996286474974
plupart,1627,0.021674996286474974
majeur,1623,0.021621708035002386
vote,1618,0.021555097720661654
sortie,1617,0.021541775657793506
centaine,1617,0.021541775657793506
bénéficier,1616,0.02152845359492536
salle,1614,0.021501809469189066
ami,1611,0.021461843280584626
affirme,1610,0.02144852121771648
consacrer,1608,0.021421877091980186
anne,1606,0.02139523296624389
parquet,1606,0.02139523296624389
accuser,1606,0.02139523296624389
coût,1597,0.02127533440043057
espèce,1596,0.021262012337562423
confirmer,1596,0.021262012337562423
mourir,1595,0.021248690274694275
payer,1595,0.021248690274694275
accepter,1595,0.021248690274694275
vraiment,1594,0.021235368211826127
jean,1593,0.021222046148957983
paraître,1590,0.02118207996035354
chine,1589,0.021168757897485395
interdire,1588,0.021155435834617247
établir,1587,0.0211421137717491
arrêt,1586,0.021128791708880955
frère,1585,0.021115469646012807
constituer,1582,0.021075503457408367
parole,1581,0.02106218139454022
gros,1579,0.021035537268803924
série,1577,0.02100889314306763
central,1577,0.02100889314306763
opération,1569,0.020902316640122456
islam,1569,0.020902316640122456
accueillir,1567,0.020875672514386164
populaire,1564,0.020835706325781723
usage,1563,0.020822384262913576
attaque,1563,0.020822384262913576
grave,1561,0.02079574013717728
peur,1558,0.02075577394857284
trouve,1558,0.02075577394857284
administratif,1557,0.020742451885704692
finalement,1557,0.020742451885704692
peutêtre,1554,0.020702485697100252
valoir,1549,0.02063587538275952
vite,1544,0.020569265068418784
industrie,1543,0.020555943005550636
baisse,1542,0.020542620942682492
domaine,1539,0.02050265475407805
refuser,1537,0.020476010628341756
accompagner,1534,0.020436044439737316
mélenchon,1532,0.02040940031400102
écologique,1532,0.02040940031400102
présence,1532,0.02040940031400102
entretien,1529,0.02036943412539658
âgé,1526,0.02032946793679214
essentiel,1523,0.0202895017481877
avenir,1518,0.020222891433846965
secrétaire,1516,0.020196247308110673
outil,1515,0.020182925245242525
contexte,1514,0.020169603182374377
numérique,1514,0.020169603182374377
esprit,1511,0.020129636993769937
puisque,1510,0.02011631493090179
test,1509,0.020102992868033645
envoyer,1509,0.020102992868033645
universitaire,1501,0.01999641636508847
climat,1501,0.01999641636508847
preuve,1500,0.01998309430222032
rassemblement,1497,0.01994312811361588
passage,1493,0.019889839862143294
rn,1492,0.019876517799275146
particulièrement,1487,0.019809907484934414
collègue,1487,0.019809907484934414
souligner,1487,0.019809907484934414
michel,1485,0.019783263359198118
marquer,1484,0.01976994129632997
impact,1476,0.019663364793384798
licence,1474,0.019636720667648502
expert,1471,0.019596754479044062
décrire,1468,0.019556788290439622
réunion,1467,0.019543466227571474
confinement,1466,0.019530144164703327
apporter,1466,0.019530144164703327
associer,1466,0.019530144164703327
académie,1464,0.019503500038967034
départ,1461,0.019463533850362594
oeil,1461,0.019463533850362594
malade,1460,0.019450211787494447
bout,1460,0.019450211787494447
menace,1460,0.019450211787494447
travers,1456,0.01939692353602186
air,1454,0.019370279410285567
volonté,1453,0.01935695734741742
préparer,1453,0.01935695734741742
minute,1450,0.01931699115881298
quitter,1450,0.01931699115881298
engagement,1449,0.01930366909594483
précédent,1442,0.019210414655867803
rentrée,1441,0.019197092592999655
sexuel,1439,0.019170448467263363
pression,1436,0.01913048227865892
gagner,1435,0.019117160215790775
message,1434,0.019103838152922627
expression,1434,0.019103838152922627
parvenir,1433,0.01909051609005448
convaincre,1433,0.01909051609005448
global,1432,0.019077194027186335
avancer,1430,0.01905054990145004
revanche,1429,0.019037227838581892
montre,1429,0.019037227838581892
lettre,1427,0.0190105837128456
moitié,1427,0.0190105837128456
identifier,1423,0.01895729546137301
transition,1423,0.01895729546137301
saisir,1423,0.01895729546137301
s,1423,0.01895729546137301
réunir,1422,0.018943973398504864
faux,1420,0.01891732927276857
événement,1418,0.018890685147032276
olivier,1417,0.01887736308416413
naturel,1417,0.01887736308416413
propose,1416,0.018864041021295984
département,1416,0.018864041021295984
fonds,1415,0.018850718958427836
compris,1411,0.018797430706955248
lycéen,1407,0.01874414245548266
celuici,1405,0.018717498329746368
lyon,1404,0.01870417626687822
investissement,1402,0.018677532141141928
phénomène,1402,0.018677532141141928
tirer,1401,0.01866421007827378
ecole,1399,0.018637565952537488
anglais,1396,0.018597599763933045
confiance,1394,0.018570955638196752
promettre,1392,0.018544311512460457
millier,1391,0.018530989449592312
faible,1387,0.018477701198119725
historique,1386,0.018464379135251577
dépasser,1386,0.018464379135251577
largement,1381,0.01839776882091084
recours,1379,0.01837112469517455
émission,1378,0.0183578026323064
justifier,1378,0.0183578026323064
prévenir,1374,0.018304514380833813
contraire,1373,0.01829119231796567
absence,1368,0.018224582003624933
ci,1367,0.018211259940756785
ressource,1367,0.018211259940756785
instruction,1367,0.018211259940756785
conscience,1366,0.01819793787788864
manifestation,1365,0.018184615815020493
rejoindre,1362,0.018144649626416053
contrat,1358,0.018091361374943465
tu,1356,0.01806471724920717
bertrand,1355,0.018051395186339025
maintenant,1354,0.018038073123470878
diplômé,1353,0.01802475106060273
plainte,1352,0.018011428997734582
étudier,1348,0.017958140746261994
régime,1347,0.01794481868339385
